,Subject,Lecture,Ch1,Ch2,Cor,Band
285,DJ02,Prog,C3,C4,0.2991133310029766,Alpha
286,DJ02,Prog,C3,F4,0.7315164432068509,Alpha
287,DJ02,Prog,C3,FP2,0.6116617568553151,Alpha
288,DJ02,Prog,PZ,C4,0.31769668731173245,Alpha
289,DJ02,Prog,PZ,F4,0.6550213038970718,Alpha
290,DJ02,Prog,PZ,FP2,0.7713405456420672,Alpha
291,DJ02,Prog,C4,F4,0.016039627782713194,Alpha
292,DJ02,Prog,C4,FP2,0.0256580638432529,Alpha
293,DJ02,Prog,F4,FP2,0.9833047234250557,Alpha
294,DJ02,Prog,FP1,F3,0.052491553678819684,Beta
295,DJ02,Prog,FP1,C3,0.2277061021890734,Beta
296,DJ02,Prog,FP1,PZ,0.9242760857346214,Beta
297,DJ02,Prog,FP1,C4,0.12801382524605143,Beta
298,DJ02,Prog,FP1,F4,0.5071607155932139,Beta
299,DJ02,Prog,FP1,FP2,0.5885309008561613,Beta
300,DJ02,Prog,F3,C3,0.8854571978951178,Beta
301,DJ02,Prog,F3,PZ,0.1920531583061547,Beta
302,DJ02,Prog,F3,C4,0.8053038218398612,Beta
303,DJ02,Prog,F3,F4,0.6326230748201261,Beta
304,DJ02,Prog,F3,FP2,0.5540171823061959,Beta
305,DJ02,Prog,C3,PZ,0.4807664789434413,Beta
306,DJ02,Prog,C3,C4,0.4878554326631294,Beta
307,DJ02,Prog,C3,F4,0.9059908791205226,Beta
308,DJ02,Prog,C3,FP2,0.8523164463083923,Beta
309,DJ02,Prog,PZ,C4,0.04257386940753193,Beta
310,DJ02,Prog,PZ,F4,0.7681503719291193,Beta
311,DJ02,Prog,PZ,FP2,0.8339748576657287,Beta
312,DJ02,Prog,C4,F4,0.2142500249965193,Beta
313,DJ02,Prog,C4,FP2,0.1580662028084777,Beta
314,DJ02,Prog,F4,FP2,0.9930104813708591,Beta
315,DJ02,Robo,FP1,F3,0.7316961860812936,Theta
316,DJ02,Robo,FP1,C3,0.11301122451158938,Theta
317,DJ02,Robo,FP1,PZ,0.011521833659175995,Theta
318,DJ02,Robo,FP1,C4,0.11383645010025133,Theta
319,DJ02,Robo,FP1,F4,0.38085750460425305,Theta
320,DJ02,Robo,FP1,FP2,0.5646746854567939,Theta
321,DJ02,Robo,F3,C3,0.07734238955926778,Theta
322,DJ02,Robo,F3,PZ,0.11782691402495374,Theta
323,DJ02,Robo,F3,C4,0.0034642416821280123,Theta
324,DJ02,Robo,F3,F4,0.5499683796842527,Theta
325,DJ02,Robo,F3,FP2,0.5387901384093339,Theta
326,DJ02,Robo,C3,PZ,0.29047770606177137,Theta
327,DJ02,Robo,C3,C4,0.29935600809491086,Theta
328,DJ02,Robo,C3,F4,0.178283520552856,Theta
329,DJ02,Robo,C3,FP2,0.09070052401052547,Theta
330,DJ02,Robo,PZ,C4,0.3600783161624232,Theta
331,DJ02,Robo,PZ,F4,0.03729743433635767,Theta
332,DJ02,Robo,PZ,FP2,0.1119763157786069,Theta
333,DJ02,Robo,C4,F4,0.15387188111860822,Theta
334,DJ02,Robo,C4,FP2,0.2679314608402944,Theta
335,DJ02,Robo,F4,FP2,0.9055898279964969,Theta
336,DJ02,Robo,FP1,F3,0.6365184481559382,Alpha
337,DJ02,Robo,FP1,C3,0.09518120065031996,Alpha
338,DJ02,Robo,FP1,PZ,0.0032870854478144703,Alpha
339,DJ02,Robo,FP1,C4,0.24837635033030803,Alpha
340,DJ02,Robo,FP1,F4,0.31108037675051137,Alpha
341,DJ02,Robo,FP1,FP2,0.5602079961132855,Alpha
342,DJ02,Robo,F3,C3,0.024785651554441797,Alpha
343,DJ02,Robo,F3,PZ,0.10643272953018808,Alpha
344,DJ02,Robo,F3,C4,0.005710590761810567,Alpha
345,DJ02,Robo,F3,F4,0.6028646709642709,Alpha
346,DJ02,Robo,F3,FP2,0.5901541859808807,Alpha
347,DJ02,Robo,C3,PZ,0.1361698099588839,Alpha
348,DJ02,Robo,C3,C4,0.1370614810002173,Alpha
349,DJ02,Robo,C3,F4,0.23353359044677807,Alpha
350,DJ02,Robo,C3,FP2,0.09714748943952199,Alpha
351,DJ02,Robo,PZ,C4,0.2681057372603763,Alpha
352,DJ02,Robo,PZ,F4,0.012860322506463967,Alpha
353,DJ02,Robo,PZ,FP2,0.08875595266039263,Alpha
354,DJ02,Robo,C4,F4,0.11803540106037635,Alpha
355,DJ02,Robo,C4,FP2,0.2792527478202938,Alpha
356,DJ02,Robo,F4,FP2,0.8724957008336272,Alpha
357,DJ02,Robo,FP1,F3,0.6419729910195328,Beta
358,DJ02,Robo,FP1,C3,0.06106563173482155,Beta
359,DJ02,Robo,FP1,PZ,0.009510222540199027,Beta
360,DJ02,Robo,FP1,C4,0.22537197314321175,Beta
361,DJ02,Robo,FP1,F4,0.3175732184730196,Beta
362,DJ02,Robo,FP1,FP2,0.5379279302815395,Beta
363,DJ02,Robo,F3,C3,0.011598372773615702,Beta
364,DJ02,Robo,F3,PZ,0.06341221168646385,Beta
365,DJ02,Robo,F3,C4,0.00735753455275245,Beta
366,DJ02,Robo,F3,F4,0.6856999916900312,Beta
367,DJ02,Robo,F3,FP2,0.7164195715146051,Beta
368,DJ02,Robo,C3,PZ,0.2695216871209564,Beta
369,DJ02,Robo,C3,C4,0.12061785344484569,Beta
370,DJ02,Robo,C3,F4,0.29977208842341024,Beta
371,DJ02,Robo,C3,FP2,0.16969559951799892,Beta
372,DJ02,Robo,PZ,C4,0.2797664547067568,Beta
373,DJ02,Robo,PZ,F4,0.03223949053065661,Beta
374,DJ02,Robo,PZ,FP2,0.07065383784987292,Beta
375,DJ02,Robo,C4,F4,0.07732807314468501,Beta
376,DJ02,Robo,C4,FP2,0.1832513764084638,Beta
377,DJ02,Robo,F4,FP2,0.920961426523736,Beta
378,DJ03,Desi,FP1,F3,0.7367821054217685,Theta
379,DJ03,Desi,FP1,C3,0.6975831639649708,Theta
380,DJ03,Desi,FP1,PZ,0.5589154959234203,Theta
381,DJ03,Desi,FP1,C4,0.6010434904420145,Theta
382,DJ03,Desi,FP1,F4,0.7744823599177697,Theta
383,DJ03,Desi,FP1,FP2,0.9914841507400969,Theta
384,DJ03,Desi,F3,C3,0.42751930979509417,Theta
385,DJ03,Desi,F3,PZ,0.22813741915888916,Theta
386,DJ03,Desi,F3,C4,0.26728942306248815,Theta
387,DJ03,Desi,F3,F4,0.4598354689689534,Theta
388,DJ03,Desi,F3,FP2,0.7119714460534716,Theta
389,DJ03,Desi,C3,PZ,0.6514920368024946,Theta
390,DJ03,Desi,C3,C4,0.5738185951582135,Theta
391,DJ03,Desi,C3,F4,0.3156470237396707,Theta
392,DJ03,Desi,C3,FP2,0.6321820826514022,Theta
393,DJ03,Desi,PZ,C4,0.6630089304851374,Theta
394,DJ03,Desi,PZ,F4,0.25233278974489837,Theta
395,DJ03,Desi,PZ,FP2,0.5047605442602505,Theta
396,DJ03,Desi,C4,F4,0.5064126148371654,Theta
397,DJ03,Desi,C4,FP2,0.6001544748852194,Theta
398,DJ03,Desi,F4,FP2,0.8461432951847853,Theta
399,DJ03,Desi,FP1,F3,0.6359741212866853,Alpha
400,DJ03,Desi,FP1,C3,0.5810661593550707,Alpha
401,DJ03,Desi,FP1,PZ,0.3660730676485916,Alpha
402,DJ03,Desi,FP1,C4,0.3747751282348274,Alpha
403,DJ03,Desi,FP1,F4,0.6594176322400646,Alpha
404,DJ03,Desi,FP1,FP2,0.9833485305591421,Alpha
405,DJ03,Desi,F3,C3,0.3614710262184048,Alpha
406,DJ03,Desi,F3,PZ,0.09024923468675213,Alpha
407,DJ03,Desi,F3,C4,0.11130613871583468,Alpha
408,DJ03,Desi,F3,F4,0.2652984155343524,Alpha
409,DJ03,Desi,F3,FP2,0.5865921303231627,Alpha
410,DJ03,Desi,C3,PZ,0.43351971635122266,Alpha
411,DJ03,Desi,C3,C4,0.2922274297374317,Alpha
412,DJ03,Desi,C3,F4,0.1385194729749393,Alpha
413,DJ03,Desi,C3,FP2,0.48518214068913756,Alpha
414,DJ03,Desi,PZ,C4,0.4242012099726722,Alpha
415,DJ03,Desi,PZ,F4,0.08187337701317653,Alpha
416,DJ03,Desi,PZ,FP2,0.3004311189633496,Alpha
417,DJ03,Desi,C4,F4,0.37651783513750753,Alpha
418,DJ03,Desi,C4,FP2,0.3956063432079425,Alpha
419,DJ03,Desi,F4,FP2,0.7739359019175224,Alpha
420,DJ03,Desi,FP1,F3,0.5112173353026929,Beta
421,DJ03,Desi,FP1,C3,0.4846545509097144,Beta
422,DJ03,Desi,FP1,PZ,0.2737837338695334,Beta
423,DJ03,Desi,FP1,C4,0.24882326639053454,Beta
424,DJ03,Desi,FP1,F4,0.5511815206239027,Beta
425,DJ03,Desi,FP1,FP2,0.9727419080292026,Beta
426,DJ03,Desi,F3,C3,0.36894815911948936,Beta
427,DJ03,Desi,F3,PZ,0.04217110472717111,Beta
428,DJ03,Desi,F3,C4,0.025795544866661885,Beta
429,DJ03,Desi,F3,F4,0.07383338107883236,Beta
430,DJ03,Desi,F3,FP2,0.41708096639433295,Beta
431,DJ03,Desi,C3,PZ,0.2931304639414601,Beta
432,DJ03,Desi,C3,C4,0.08707500266413773,Beta
433,DJ03,Desi,C3,F4,0.028381496897172138,Beta
434,DJ03,Desi,C3,FP2,0.35533579016372724,Beta
435,DJ03,Desi,PZ,C4,0.24478218621051465,Beta
436,DJ03,Desi,PZ,F4,0.02496881619432358,Beta
437,DJ03,Desi,PZ,FP2,0.2060809593865113,Beta
438,DJ03,Desi,C4,F4,0.37178744472748065,Beta
439,DJ03,Desi,C4,FP2,0.30092868112612203,Beta
