Subject,Lecture,Ch1,Ch2,Cor,Band
DT01,Desi,C4,FP2,0.3592075289740715,Beta
DT01,Desi,F4,FP2,0.789511771788852,Beta
DT01,Prog,FP1,F3,0.8066094710923275,Theta
DT01,Prog,FP1,C3,0.16685820229698506,Theta
DT01,Prog,FP1,PZ,0.3194762236501933,Theta
DT01,Prog,FP1,C4,0.4513730854487086,Theta
DT01,Prog,FP1,F4,0.8341250619505942,Theta
DT01,Prog,FP1,FP2,0.9322766781091769,Theta
DT01,Prog,F3,C3,0.2441256944435794,Theta
DT01,Prog,F3,PZ,0.1236683669442123,Theta
DT01,Prog,F3,C4,0.46313036826836945,Theta
DT01,Prog,F3,F4,0.711836076773231,Theta
DT01,Prog,F3,FP2,0.6012298524735071,Theta
DT01,Prog,C3,PZ,0.26662499606211576,Theta
DT01,Prog,C3,C4,0.1731488812614656,Theta
DT01,Prog,C3,F4,0.0933296307971754,Theta
DT01,Prog,C3,FP2,0.12999776118745035,Theta
DT01,Prog,PZ,C4,0.2751495978310593,Theta
DT01,Prog,PZ,F4,0.06577188773467195,Theta
DT01,Prog,PZ,FP2,0.3588356441446606,Theta
DT01,Prog,C4,F4,0.306368630630351,Theta
DT01,Prog,C4,FP2,0.507971058382359,Theta
DT01,Prog,F4,FP2,0.8198185004529261,Theta
DT01,Prog,FP1,F3,0.7481503926979106,Alpha
DT01,Prog,FP1,C3,0.10670937446330164,Alpha
DT01,Prog,FP1,PZ,0.2824569378388818,Alpha
DT01,Prog,FP1,C4,0.3104794535644337,Alpha
DT01,Prog,FP1,F4,0.7344393503340101,Alpha
DT01,Prog,FP1,FP2,0.9070144061280218,Alpha
DT01,Prog,F3,C3,0.1708208594967306,Alpha
DT01,Prog,F3,PZ,0.08571383441322894,Alpha
DT01,Prog,F3,C4,0.3754884717021272,Alpha
DT01,Prog,F3,F4,0.6011496574833441,Alpha
DT01,Prog,F3,FP2,0.506976026255623,Alpha
DT01,Prog,C3,PZ,0.2309964786811608,Alpha
DT01,Prog,C3,C4,0.07740587869229645,Alpha
DT01,Prog,C3,F4,0.0395498341002192,Alpha
DT01,Prog,C3,FP2,0.0772774332108959,Alpha
DT01,Prog,PZ,C4,0.17569826409494343,Alpha
