Subject,Lecture,Ch,Band,Power
ES02,Desi,FP2,Alpha,0.884533653897188
ES02,Desi,FP1,Beta,0.9083750371946696
ES02,Desi,F3,Beta,2.6682559800412715
ES02,Desi,C3,Beta,2.37158785976053
ES02,Desi,PZ,Beta,7.096179138091124
ES02,Desi,C4,Beta,3.024129328875012
ES02,Desi,F4,Beta,3.035078496869415
ES02,Desi,FP2,Beta,1.0375493046446864
ES02,Prog,FP1,Theta,1.1745531965724634
ES02,Prog,F3,Theta,2.935147569774019
ES02,Prog,C3,Theta,3.474924701427842
ES02,Prog,PZ,Theta,16.31040018279986
ES02,Prog,C4,Theta,4.59121728275044
ES02,Prog,F4,Theta,2.9128862002507203
ES02,Prog,FP2,Theta,1.210543600779774
ES02,Prog,FP1,Alpha,0.9993448815865152
ES02,Prog,F3,Alpha,2.2060828584082866
ES02,Prog,C3,Alpha,2.8354540751525024
ES02,Prog,PZ,Alpha,31.28562664262004
ES02,Prog,C4,Alpha,4.936144144636611
ES02,Prog,F4,Alpha,2.188320045867828
ES02,Prog,FP2,Alpha,0.884533653897188
ES02,Prog,FP1,Beta,0.9083750371946696
ES02,Prog,F3,Beta,2.6682559800412715
ES02,Prog,C3,Beta,2.37158785976053
ES02,Prog,PZ,Beta,7.096179138091124
ES02,Prog,C4,Beta,3.024129328875012
ES02,Prog,F4,Beta,3.035078496869415
ES02,Prog,FP2,Beta,1.0375493046446864
ES02,Robo,FP1,Theta,1.1745531965724634
ES02,Robo,F3,Theta,2.935147569774019
ES02,Robo,C3,Theta,3.474924701427842
ES02,Robo,PZ,Theta,16.31040018279986
ES02,Robo,C4,Theta,4.59121728275044
ES02,Robo,F4,Theta,2.9128862002507203
ES02,Robo,FP2,Theta,1.210543600779774
ES02,Robo,FP1,Alpha,0.9993448815865152
ES02,Robo,F3,Alpha,2.2060828584082866
ES02,Robo,C3,Alpha,2.8354540751525024
ES02,Robo,PZ,Alpha,31.28562664262004
ES02,Robo,C4,Alpha,4.936144144636611
ES02,Robo,F4,Alpha,2.188320045867828
ES02,Robo,FP2,Alpha,0.884533653897188
ES02,Robo,FP1,Beta,0.9083750371946696
ES02,Robo,F3,Beta,2.6682559800412715
ES02,Robo,C3,Beta,2.37158785976053
ES02,Robo,PZ,Beta,7.096179138091124
ES02,Robo,C4,Beta,3.024129328875012
ES02,Robo,F4,Beta,3.035078496869415
ES02,Robo,FP2,Beta,1.0375493046446864
MJ01,Desi,FP1,Theta,1.345003091875613
MJ01,Desi,F3,Theta,1.0857128358931043
MJ01,Desi,C3,Theta,1.0591462308192936
MJ01,Desi,PZ,Theta,3.121034128865253
MJ01,Desi,C4,Theta,1.7108798341455933
MJ01,Desi,F4,Theta,1.2433920921233232
MJ01,Desi,FP2,Theta,1.5796781360410952
MJ01,Desi,FP1,Alpha,0.5354783914743679
MJ01,Desi,F3,Alpha,0.4461316158336739
MJ01,Desi,C3,Alpha,0.7479867159040349
MJ01,Desi,PZ,Alpha,2.267770060098418
MJ01,Desi,C4,Alpha,1.074071512050724
MJ01,Desi,F4,Alpha,0.5457170356818912
MJ01,Desi,FP2,Alpha,0.6269745995379931
MJ01,Desi,FP1,Beta,0.8755458808697543
MJ01,Desi,F3,Beta,0.9342615424166208
MJ01,Desi,C3,Beta,0.5308278840209439
MJ01,Desi,PZ,Beta,1.38762568674751
MJ01,Desi,C4,Beta,2.064792967825935
MJ01,Desi,F4,Beta,1.0502566457149292
MJ01,Desi,FP2,Beta,1.0928739545724824
MJ01,Prog,FP1,Theta,1.345003091875613
MJ01,Prog,F3,Theta,1.0857128358931043
MJ01,Prog,C3,Theta,1.0591462308192936
MJ01,Prog,PZ,Theta,3.121034128865253
MJ01,Prog,C4,Theta,1.7108798341455933
MJ01,Prog,F4,Theta,1.2433920921233232
MJ01,Prog,FP2,Theta,1.5796781360410952
MJ01,Prog,FP1,Alpha,0.5354783914743679
MJ01,Prog,F3,Alpha,0.4461316158336739
MJ01,Prog,C3,Alpha,0.7479867159040349
MJ01,Prog,PZ,Alpha,2.267770060098418
MJ01,Prog,C4,Alpha,1.074071512050724
MJ01,Prog,F4,Alpha,0.5457170356818912
MJ01,Prog,FP2,Alpha,0.6269745995379931
MJ01,Prog,FP1,Beta,0.8755458808697543
MJ01,Prog,F3,Beta,0.9342615424166208
MJ01,Prog,C3,Beta,0.5308278840209439
MJ01,Prog,PZ,Beta,1.38762568674751
MJ01,Prog,C4,Beta,2.064792967825935
MJ01,Prog,F4,Beta,1.0502566457149292
MJ01,Prog,FP2,Beta,1.0928739545724824
MJ01,Robo,FP1,Theta,1.345003091875613
MJ01,Robo,F3,Theta,1.0857128358931043
MJ01,Robo,C3,Theta,1.0591462308192936
MJ01,Robo,PZ,Theta,3.121034128865253
MJ01,Robo,C4,Theta,1.7108798341455933
